time_s,lat,lon,alt_m
1771501117.3322384,54.7671108,-1.5680058,-0.373
1771501117.4325116,54.7671108,-1.5680058,-0.373
1771501117.532734,54.7671108,-1.5680058,-0.373
1771501117.6329868,54.7671108,-1.5680058,-0.373
1771501117.7332408,54.7671108,-1.5680058,-0.373
1771501117.8336499,54.7671108,-1.5680058,-0.373
1771501117.9338896,54.7671108,-1.5680058,-0.373
1771501118.034116,54.7671108,-1.5680058,-0.373
1771501118.134358,54.7671108,-1.5680058,-0.373
1771501118.2346482,54.7671108,-1.5680058,-0.373
1771501118.3348956,54.7671108,-1.5680058,-0.374
1771501118.4351468,54.7671108,-1.5680058,-0.374
1771501118.5353928,54.7671108,-1.5680058,-0.374
1771501118.635564,54.7671108,-1.5680058,-0.374
1771501118.7357018,54.7671108,-1.5680058,-0.374
1771501118.8359127,54.7671108,-1.5680058,-0.374
1771501118.9360907,54.7671108,-1.5680058,-0.374
1771501119.036258,54.7671108,-1.5680058,-0.374
1771501119.1364162,54.7671108,-1.5680058,-0.374
1771501119.2365563,54.7671108,-1.5680058,-0.374
1771501119.336726,54.7671108,-1.5680058,-0.374
1771501119.436915,54.7671108,-1.5680058,-0.374
1771501119.5370598,54.7671108,-1.5680058,-0.374
1771501119.6371977,54.7671108,-1.5680058,-0.374
1771501119.7373626,54.7671108,-1.5680058,-0.374
1771501119.837559,54.7671108,-1.5680058,-0.374
1771501119.9376972,54.7671108,-1.5680058,-0.374
1771501120.037874,54.7671108,-1.5680058,-0.374
1771501120.1380157,54.7671108,-1.5680058,-0.374
1771501120.2381754,54.7671108,-1.5680058,-0.374
1771501120.3384292,54.7671108,-1.5680058,-0.374
1771501120.4385762,54.7671108,-1.5680058,-0.374
1771501120.538778,54.7671108,-1.5680058,-0.374
1771501120.6389267,54.7671108,-1.5680058,-0.374
1771501120.7390552,54.7671108,-1.5680058,-0.374
1771501120.839228,54.7671108,-1.5680058,-0.374
1771501120.9394412,54.7671108,-1.5680058,-0.374
1771501121.03962,54.7671108,-1.5680058,-0.374
1771501121.139769,54.7671108,-1.5680058,-0.374
1771501121.23991,54.7671108,-1.5680058,-0.374
1771501121.3400326,54.7671108,-1.5680058,-0.374
